epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.205,0.79308,1.67729,0.95476,0.93323,0.92374,0.96427,0.79659,0.65034,0.72851,0.87671,0.00332508,0.00332508,0.00332508
2,160.295,0.77869,0.8542,0.93262,0.93839,0.92874,0.96953,0.78935,0.68744,0.60474,0.89859,0.0065925,0.0065925,0.0065925
3,214.186,0.80532,0.72024,0.9489,0.92456,0.89253,0.95649,0.78372,0.68692,0.55946,0.90997,0.00979391,0.00979391,0.00979391
4,291.372,0.82768,0.68568,0.96398,0.93147,0.87486,0.94125,0.76595,0.70909,0.56611,0.91182,0.009703,0.009703,0.009703
5,345.061,0.7813,0.61739,0.95174,0.93961,0.89422,0.95061,0.78678,0.69352,0.52958,0.91878,0.009604,0.009604,0.009604
6,398.502,0.74596,0.57429,0.93297,0.95567,0.92913,0.97245,0.82966,0.60994,0.43968,0.8871,0.009505,0.009505,0.009505
7,452.089,0.71642,0.54024,0.92809,0.94448,0.92872,0.97019,0.81668,0.63475,0.44577,0.89547,0.009406,0.009406,0.009406
8,505.951,0.70675,0.52904,0.92242,0.93216,0.92356,0.96761,0.83856,0.55414,0.50685,0.8699,0.009307,0.009307,0.009307
9,559.964,0.68188,0.51451,0.91672,0.94418,0.93276,0.97313,0.84975,0.5541,0.4015,0.87313,0.009208,0.009208,0.009208
10,613.576,0.66898,0.49279,0.90987,0.94262,0.93103,0.97161,0.84139,0.54967,0.42502,0.86666,0.009109,0.009109,0.009109
11,666.984,0.65714,0.48444,0.90407,0.95281,0.93986,0.97573,0.85929,0.53436,0.38461,0.85842,0.00901,0.00901,0.00901
12,720.307,0.64043,0.46687,0.90204,0.95098,0.94195,0.97855,0.86569,0.51571,0.36837,0.85594,0.008911,0.008911,0.008911
13,1005.72,0.63295,0.46389,0.89921,0.95543,0.94867,0.9768,0.86887,0.50728,0.36657,0.85402,0.008812,0.008812,0.008812
14,1059.03,0.62151,0.44785,0.89176,0.94432,0.94655,0.97914,0.8712,0.50493,0.36328,0.85356,0.008713,0.008713,0.008713
15,1112.19,0.61337,0.43828,0.89086,0.9591,0.94328,0.97868,0.87484,0.49217,0.35918,0.85225,0.008614,0.008614,0.008614
16,1165.32,0.60936,0.44213,0.89034,0.9578,0.93907,0.98083,0.87961,0.47677,0.35111,0.844,0.008515,0.008515,0.008515
17,1218.34,0.59955,0.42847,0.88757,0.96582,0.9431,0.98367,0.89183,0.45684,0.33424,0.83931,0.008416,0.008416,0.008416
18,1271.82,0.58869,0.41521,0.88335,0.95332,0.95517,0.98417,0.88649,0.4699,0.33998,0.84259,0.008317,0.008317,0.008317
19,1325.13,0.58643,0.41328,0.88176,0.95509,0.95333,0.98218,0.89012,0.4659,0.33236,0.84013,0.008218,0.008218,0.008218
20,1378.47,0.58252,0.41178,0.88205,0.96756,0.95,0.98404,0.88159,0.48007,0.33171,0.84519,0.008119,0.008119,0.008119
21,1431.86,0.57307,0.40637,0.87962,0.96035,0.94667,0.98428,0.89626,0.45095,0.31871,0.83787,0.00802,0.00802,0.00802
22,1485.05,0.57134,0.4018,0.87656,0.95647,0.95632,0.98469,0.89566,0.4553,0.31883,0.83635,0.007921,0.007921,0.007921
23,1538.17,0.56812,0.39946,0.87739,0.96175,0.95385,0.98523,0.89735,0.45081,0.31785,0.83505,0.007822,0.007822,0.007822
24,1591.12,0.55709,0.3938,0.87622,0.96094,0.96136,0.98576,0.89469,0.45032,0.31658,0.83334,0.007723,0.007723,0.007723
25,1644.94,0.56089,0.39182,0.87775,0.9636,0.95846,0.98701,0.90277,0.44225,0.31557,0.83517,0.007624,0.007624,0.007624
26,1698.44,0.54779,0.38381,0.87453,0.95976,0.96379,0.98846,0.90761,0.42969,0.29225,0.82942,0.007525,0.007525,0.007525
27,1751.62,0.54171,0.37764,0.86931,0.95918,0.95517,0.98483,0.89843,0.43589,0.30641,0.8332,0.007426,0.007426,0.007426
